"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","ALBANY PARK","2009","no",1011,118,0,11,47,60
"2","ALBANY PARK","2009","yes",70,76,0,11,29,36
"3","ALBANY PARK","2010","no",1070,186,1,19,103,64
"4","ALBANY PARK","2011","no",994,121,0,4,69,48
"5","ALBANY PARK","2011","yes",78,78,1,11,41,26
"6","ALBANY PARK","2012","no",1043,139,0,11,68,60
"7","ALBANY PARK","2012","yes",91,89,0,6,47,36
"8","ALBANY PARK","2013","no",972,105,0,5,45,55
"9","ALBANY PARK","2013","yes",78,72,0,6,43,23
"10","ALBANY PARK","2014","no",947,109,0,9,56,44
"11","ALBANY PARK","2014","yes",74,72,0,8,43,21
"12","ALBANY PARK","2015","no",501,49,0,6,20,23
"13","ALBANY PARK","2015","yes",22,20,0,2,9,9
"14","ALBANY PARK","2016","no",413,37,1,4,17,16
"15","ALBANY PARK","2016","yes",31,30,0,1,15,14
"16","ALBANY PARK","2017","no",773,93,0,11,45,37
"17","ALBANY PARK","2017","yes",46,46,0,6,25,15
"18","ARCHER HEIGHTS","2009","no",676,143,3,13,61,69
"19","ARCHER HEIGHTS","2009","yes",29,28,1,3,17,8
"20","ARCHER HEIGHTS","2010","no",642,160,0,15,63,82
"21","ARCHER HEIGHTS","2011","no",651,134,0,6,68,60
"22","ARCHER HEIGHTS","2011","yes",20,20,0,5,8,7
"23","ARCHER HEIGHTS","2012","no",673,133,1,12,62,59
"24","ARCHER HEIGHTS","2012","yes",23,25,0,0,16,9
"25","ARCHER HEIGHTS","2013","no",734,131,0,18,50,63
"26","ARCHER HEIGHTS","2013","yes",23,19,1,1,13,5
"27","ARCHER HEIGHTS","2014","no",729,129,1,6,65,58
"28","ARCHER HEIGHTS","2014","yes",12,12,1,4,4,4
"29","ARCHER HEIGHTS","2015","no",370,60,0,2,37,21
"30","ARCHER HEIGHTS","2015","yes",5,5,0,1,3,1
"31","ARCHER HEIGHTS","2016","no",414,76,1,6,54,16
"32","ARCHER HEIGHTS","2016","yes",7,7,0,1,3,3
"33","ARCHER HEIGHTS","2017","no",728,109,1,7,53,49
"34","ARCHER HEIGHTS","2017","yes",9,10,0,2,6,2
"35","ARMOUR SQUARE","2009","no",725,196,3,42,98,56
"36","ARMOUR SQUARE","2009","yes",21,21,0,2,11,8
"37","ARMOUR SQUARE","2010","no",788,234,3,22,129,83
"38","ARMOUR SQUARE","2011","no",789,223,0,26,128,69
"39","ARMOUR SQUARE","2011","yes",27,29,0,3,17,9
